"10","146","146"
"20","399","373"
"30","893","698"
"40","1131","1070"
"50","1561","1405"
"60","1892","1825"
"70","2657","2354"
"80","3090","2852"
"90","3786","3430"
"100","4522","4052"
"110","5391","4610"
"120","6327","5223"
"130","6487","5686"
"140","7293","6686"
"150","8507","7366"
"160","9307","8041"
"170","9365","8730"
"180","10856","9757"
"190","11406","10379"
"200","12817","11523"
"210","13749","12132"
"220","14705","13470"
"230","15539","13846"
"240","16450","14675"
"250","16740","14770"
"260","19234","16257"
"270","19530","17282"
"280","20916","18209"
"290","22819","19590"
"300","23245","20313"
